taxonID	habitat
23721099	brackish
23721099	freshwater
23721099	marine
23721284	brackish
23721284	marine
23721418	marine
23721547	brackish
23721547	freshwater
23721641	marine
23721642	marine
23721978	brackish
23721978	marine
23721982	brackish
23721982	freshwater
23722084	marine
23722132	brackish
23722132	freshwater
23722132	marine
23722579	marine
23722582	brackish
23722582	marine
23722964	marine
23723386	brackish
23723386	freshwater
23723386	marine
23723905	marine
23724001	brackish
23724001	marine
23724047	marine
23724048	marine
23724139	marine
23724218	marine
23724422	freshwater
23724582	brackish
23724582	marine
23724901	marine
23724946	brackish
23724946	freshwater
23724946	marine
23724992	marine
23725047	brackish
23725047	freshwater
23725047	marine
23725063	brackish
23725063	marine
23725073	freshwater
23725209	marine
23725390	freshwater
23725401	marine
23725446	marine
23725653	freshwater
23725700	freshwater
23725701	freshwater
23725702	freshwater
23725703	freshwater
23725705	freshwater
23725706	freshwater
23725708	freshwater
23725709	freshwater
23725711	freshwater
23725712	freshwater
23725713	freshwater
23725714	freshwater
23725715	freshwater
23725739	freshwater
23725757	freshwater
23725868	freshwater
23725967	freshwater
23725968	freshwater
23725977	freshwater
23725981	freshwater
23726056	brackish
23726056	marine
23726079	brackish
23726079	freshwater
23726097	freshwater
23726117	marine
23726199	marine
23726206	marine
23726218	marine
23726220	marine
23726266	brackish
23726266	freshwater
23726433	freshwater
23726542	brackish
23726542	marine
23726705	marine
23726764	marine
23726783	brackish
23726783	marine
23726813	brackish
23726813	freshwater
23726814	brackish
23726814	freshwater
23726867	freshwater
23726869	freshwater
23726874	freshwater
23726887	freshwater
23726898	freshwater
23726905	freshwater
23726931	marine
23726956	marine
23726962	marine
23727018	marine
23727122	marine
23727391	brackish
23727391	freshwater
23727391	marine
23727392	brackish
23727392	marine
23727595	marine
23727620	marine
23727659	brackish
23727659	freshwater
23727659	marine
23727672	marine
23727928	brackish
23727928	marine
23727999	brackish
23727999	freshwater
23727999	marine
23728041	marine
23728082	marine
23728256	marine
23728328	marine
23728591	marine
23728614	marine
23728616	brackish
23728616	marine
23728617	freshwater
23728618	freshwater
23728619	freshwater
23728648	brackish
23728648	marine
23728668	marine
23728710	freshwater
23728711	brackish
23728711	marine
23728715	brackish
23728715	marine
23728739	marine
23728846	freshwater
23729112	freshwater
23729198	freshwater
23729207	freshwater
23729268	brackish
23729268	freshwater
23729268	marine
23729276	freshwater
23729575	brackish
23729575	freshwater
23729646	freshwater
23729651	freshwater
23729652	freshwater
23729660	freshwater
23729664	freshwater
23729881	marine
23729919	marine
23729924	marine
23730072	marine
23730185	marine
23730206	marine
23730392	marine
23730496	marine
23730569	marine
23730571	marine
23730623	brackish
23730623	freshwater
23730623	marine
23730666	marine
23730802	marine
23730834	marine
23730850	marine
23730857	marine
23730874	marine
23730908	marine
23730909	marine
23730932	freshwater
23731029	marine
23731036	marine
23731073	marine
23731095	brackish
23731095	freshwater
23731095	marine
23731102	marine
23731111	marine
23731125	freshwater
23731159	freshwater
23731164	freshwater
23731168	freshwater
23731169	freshwater
23731178	freshwater
23731191	freshwater
23731206	freshwater
23731208	freshwater
23731215	freshwater
23731235	freshwater
23731236	freshwater
23731238	freshwater
23731242	freshwater
23731245	freshwater
23731246	freshwater
23731247	freshwater
23731271	brackish
23731271	marine
23731324	marine
23731351	freshwater
23731381	freshwater
23731398	marine
23731422	freshwater
23731437	marine
23731536	marine
23731537	marine
23731538	marine
23731549	marine
23731567	marine
23731571	marine
23731579	marine
23731594	marine
23731662	marine
23731667	marine
23731708	marine
23731740	freshwater
23731772	freshwater
23731791	freshwater
23731797	freshwater
23731808	freshwater
23731812	freshwater
23731827	freshwater
23731854	freshwater
23731892	freshwater
23731899	freshwater
23731926	marine
23731937	freshwater
23731981	freshwater
23731983	freshwater
23731985	freshwater
23732015	freshwater
23732131	freshwater
23732133	freshwater
23732169	freshwater
23732196	freshwater
23732200	freshwater
23732207	freshwater
23732222	freshwater
23732306	freshwater
23732326	freshwater
23732410	freshwater
23732507	marine
23732588	freshwater
23732689	freshwater
23732817	freshwater
23732865	freshwater
23732880	brackish
23732880	freshwater
23732880	marine
23732913	brackish
23732913	marine
23732921	freshwater
23732942	freshwater
23732961	freshwater
23732972	marine
23733001	marine
23733012	freshwater
23733048	brackish
23733048	freshwater
23733137	marine
23733386	marine
23733406	brackish
23733406	freshwater
23733406	marine
23733414	marine
23733437	marine
23733466	marine
23733523	freshwater
23733538	freshwater
23733539	freshwater
23733551	marine
23733582	freshwater
23733610	marine
23733611	marine
23733612	marine
23733613	marine
23733614	marine
23733615	marine
23733617	marine
23733618	marine
23733619	marine
23733620	marine
23733621	marine
23733622	marine
23733664	freshwater
23733665	freshwater
23733738	marine
23733790	freshwater
23733791	freshwater
23733792	freshwater
23733814	brackish
23733814	marine
23733815	marine
23733816	marine
23733824	marine
23733875	freshwater
23733876	freshwater
23733877	freshwater
23733880	freshwater
23733881	freshwater
23733888	freshwater
23733932	freshwater
23734021	brackish
23734021	freshwater
23734046	marine
23734077	freshwater
23734090	marine
23734101	marine
23734102	freshwater
23734103	brackish
23734103	freshwater
23734163	marine
23734171	marine
23734184	freshwater
23734186	freshwater
23734195	marine
23734225	freshwater
23734226	freshwater
23734240	freshwater
23734260	brackish
23734260	marine
23734328	marine
23734398	marine
23734402	marine
23734610	freshwater
23734611	freshwater
23734612	freshwater
23734613	freshwater
23734614	freshwater
